Merchant,Category
"101 drogerie, oc max, d",Other
2 fogher,Other
2272 ds2 pd centostazion,Other
2a retail,Other
2theloo,Other
37012 srl italian bar,Other
44140 thiene - cappuccin,Other
813020 cdg2 bd,Other
action,Shopping
aelia duty free,Other
aelia duty free venezia,Other
aerobus co,Transport
agrifarma,Shopping
aimchess by coachevnik,Other
aldrighetti vini,Other
alfi,Other
aliexpress,Shopping
alza,Other
amazon,Shopping
amazon pay,Shopping
amazon prime,Shopping
antigua casa del guardia,Other
aparcament de l esgl sia,Transport
aparcament prada casadet,Transport
aparcament vinyes,Transport
aparcaments bsm,Transport
aquardens,Entertainment
arena padel s.s.d.,Entertainment
aroma-zone,Shopping
asfinag,Other
asghar shahzeb,Other
asociacion maurice de sully,Other
ass m de sully,Other
assurimo,Other
atm.it,Other
au petit creux,Other
au petit suisse,Other
au petit versail,Other
auchan,Grocery
aumai,Shopping
autema,Transport
autogrill,Transport
autostrade per l'italia,Transport
aux desirs de m,Other
aux desirs de manon,Other
aux deux anges,Other
aws,Subscription
axa,Services
axa schengen,Services
azienda napoletana mobilita,Other
bakkano 2.0,Other
bamboo express,Other
bamboo express zilina,Other
bar a bulles - paris,Restaurant
bar da kalif,Restaurant
bar merc. atarazana,Restaurant
baradis,Other
bastille,Other
bdc paris,Other
"beija flor nivy, ba",Other
bellavista bar ristorant,Restaurant
benad,Other
benjamin daniel,Other
benoit pw,Other
berliner,Other
bertoleoni srl,Other
better tasty goodies,Other
big back,Other
big black cook,Other
billa,Grocery
billetterie mja,Entertainment
billetweb,Entertainment
bistro de la balise,Restaurant
bitwarden,Subscription
blablacar,Transport
blinkist,Other
blitzsociety,Entertainment
bmk paris,Other
bolt,Transport
booking.com,Travel
borabora bufet pizza,Restaurant
boulangerie,Grocery
bowling time snc,Entertainment
bp,Other
bratislavska integrovana doprava,Other
brave,Restaurant
breguet,Other
bricco cafe,Café
brioche doree,Restaurant
budgetair,Transport
"bufet - dkz gastro, s.",Transport
buffet gare,Restaurant
bunq,Restaurant
buzzolan srl,Other
c3h,Other
cafe bogota,Café
cafe du temple,Café
cafe+co,Café
caffe' al morar di roman,Café
caffetteria della nonna,Café
candelaria,Other
carollo riccardo,Transport
carrefour,Grocery
carrefour city,Grocery
carrefour express,Grocery
carrefour market,Grocery
caseus saint paul,Other
cdf bastille,Other
celio,Shopping
centre dentaire ferney voltaire,Health
centro hi-fi di marangoni,Other
cerballiance,Health
cerveceria los gatos,Other
chiosco ristoro s.r.l.,Other
chlew saint paul,Other
citypharma,Shopping
class souvenirs,Shopping
climbing district,Entertainment
climbing genie,Entertainment
cloudflare,Subscription
coccimarket,Grocery
conad,Other
coop,Grocery
copains,Grocery
cpam (caisse primaire d'assurance maladie),Health
crai supermercati,Grocery
cropp,Shopping
crunchy chicken,Other
cse bastille,Other
curaprox,Other
curiosity stream,Subscription
da barbara srl,Other
dallmayr,Other
dan e g srl,Other
datacamp,Subscription
decathlon,Shopping
deciem,Other
dekhir majid,Other
delices antoine,Other
deliveroo,Food Delivery
dermatologie bi,Health
despar,Grocery
dia,Other
dice.fm,Entertainment
discover cars,Transport
dm-drogerie,Shopping
docteur montloin,Health
doni,Other
dopravny podnik bratislava,Other
dpb.sk  *9bfo0c,Other
dr bernard attal,Other
dr bijon charles,Other
dr f. boclet,Other
druni,Shopping
ds marais,Other
dufry,Other
dynadot,Subscription
e' guagliune,Other
e.leclerc,Grocery
easyjet,Travel
eb *salutexperiences 1,Other
edreams,Other
egri pekaren,Other
el corte ingles,Shopping
emcard.com,Transport
emisfero,Grocery
empresa malaguena de transportes,Shopping
enrico aldrighetti & ..,Other
etoro,Other
eurovea,Shopping
eventbrite,Entertainment
exist.io,Other
exki,Other
fan avenue,Other
farmacia,Shopping
fatra ski s.r.o,Entertainment
fedex,Services
feed smart,Other
"ffaxcopy94,ba,nivy",Services
fleche ndp,Other
flixbus,Travel
flover garden,Other
fnac,Shopping
food senza glutine,Restaurant
franprix,Grocery
free mobile,Utilities
fresco market,Grocery
fruitisimo - mlynske n,Other
fruitisimo ba avion,Other
fubin sushi,Restaurant
fun party,Entertainment
galeries lafayette,Shopping
gambrinus,Other
garaje atarazanas,Other
